Object,Start,End,Count,
TB1_t2cell07_nuc1_RKJ,116,200,85,
TB1_t2cell07_nuc2_RKJ,125,203,84,
TB1_T2Cell08_atmito05_Cristae_RSL,14,47,587,
TB1_T2Cell08_atmito05_RKJ,14,47,34,
TB1_T2Cell08_atmito18_RKJ,1,11,11,
TB1_T2Cell08_atmito19_RKJ,1,9,9,
TB1_T2cell08_atmito20_cristae_RSL,5,42,959,
TB1_T2cell08_atmito20_RSL,5,42,94,
TB1_t2cell08_CM_RKJ,1,128,137,
TB1_t2cell08_nuc_RKJ,1,32,32,
TB1_t2cell10__nuc_RKJ,1,29,29,
TB1_T2Cell10_atmito11_RKJ,5,24,20,
TB1_T2Cell10_atmito12_RKJ,18,39,26,
TB1_T2Cell10_atmito20_RKJ,1,9,9,
TB1_T2Cell10_atmito21_RKJ,1,15,15,
TB1_t2cell10_CM_RKJ,1,133,170,
TB1_T2Cell11_CM_LES,93,203,256,
TB1_t2cell11_nuc_RKJ,98,185,93,
TB1_t2cell12_CM_RKJ,1,123,258,
TB1_t2cell12_nuc_RKJ,1,29,29,
TB1_t2cell13_CM_RKJ,1,157,182,
TB1_t2cell13_nuc_RKJ,36,139,91,
TB1_t3cell01_CM_RKJ,1,139,200,
TB1_T3Cell01_junct01_ves_LES,56,70,237,
TB1_T3Cell01_junct02_ves_LES,53,63,114,
TB1_t3cell01_nuc_RKJ,60,134,107,
TB1_T3Cell02_atmito04_RKJ,44,56,13,
TB1_t3cell02_CM_RKJ,1,89,150,
TB1_t3cell02_nuc_RKJ,1,68,84,
TB1_t3cell03_CM_RKJ,37,161,463,
TB1_t3cell03_nuc_RKJ,61,153,112,
TB1_t3cell04_CM_RKJ,1,86,172,
TB1_T3Cell04_junct01_ves_LES,3,32,283,
TB1_t3cell04_nuc_RKJ,1,51,76,
TB1_T3cell05_CM_RKJ,1,138,184,
TB1_T3Cell06_CM_LES,1,90,246,
TB1_T3Cell06_junct01_ves_LES,56,60,48,
TB1_T3Cell06_junct02_ves_LES,46,64,244,
TB1_T3Cell06_junct03_ves_LES,23,34,118,
TB1_T3Cell06_junct04_ves_LES,27,47,158,
TB1_T3Cell06_Nuc_LES,1,77,84,
TB1_T3Cell07_CM_LES,1,87,87,
TB2_Basal01_CM_KP,546,563,17,
TB2_Basal01_nuc_KP,550,563,13,
TB2_Basal02_CM_KP,473,563,91,
TB2_Basal02_nuc_KP,487,563,78,
TB2_Basal03_nuc_KP,528,563,39,
TB2_Basal04_nuc_KP,486,563,89,
Tb2_Basal05_Nuc_DE,357,408,52,
Tb2_Basal05_Nuchole_DE,396,403,16,
TB2_Basal06_nuc_LES,315,351,48,
TB2_BasalCell07_CM_LES,289,342,79,
TB2_BasalCell07_nuc_LES,295,339,62,
TB2_Edge_nmito011_DSU,440,451,34,
TB2_Edge_nmito012_DSU,389,397,18,
TB2_Edge_nmito013_DSU,472,479,24,
TB2_Edge_nmito014_DSU,477,479,6,
TB2_Edge_nmito015_DSU,479,487,22,
TB2_Edge_nmito016_DSU,475,481,22,
TB2_Edge_nmito017_DSU,472,478,18,
TB2_Edge01_nuc_KP,498,563,81,
TB2_Edge02_nuc_KP,477,557,91,
TB2_Edge03_nmito001_DSU,454,496,100,
TB2_Edge03_nuc_KP,446,563,118,
TB2_Edge04_nuc_KP,472,533,80,
TB2_Edge05_Nmito001_DSU,460,471,24,
TB2_Edge05_nmito002_DSU,458,461,8,
TB2_Edge05_nmito003_DSU,457,461,12,
TB2_Edge05_nmito004_DSU,463,467,10,
TB2_Edge05_nmito005_DSU,468,473,12,
TB2_Edge05_nmito006_DSU,460,469,22,
TB2_Edge05_nmito007_DSU,458,465,16,
TB2_Edge05_nmito008_DSU,468,471,22,
TB2_Edge05_nmito009_DSU,453,465,51,
TB2_Edge05_nmito010_DSU,464,470,14,
TB2_IMMCell01_Nuc_DE,381,463,97,
TB2_IMMCell01_NucHole_DE,406,451,37,
TB2_NF001_LES,273,563,572,
TB2_NF01_LES,345,485,771,
TB2_NF02_LES,494,545,70,
TB2_NF03_LES,391,407,30,
TB2_NF04_LES,314,532,532,
TB2_NF05_LES,363,554,990,
TB2_NF06_LES,388,563,268,
TB2_NF07_RSL,272,563,1258,
TB2_NF08_RSL,377,563,1156,
TB2_NF09_RSL,351,460,564,
TB2_NF10_RSL,558,563,16,
TB2_NF11_RSL,528,563,76,
TB2_NF12_RSL,376,563,1037,
TB2_NF13_RSL,353,521,1214,
TB2_NF13junctves_RSL,365,370,116,
TB2_NF14_RSL,339,427,278,
TB2_NF14junctves_RSL,346,374,317,
TB2_NF15_RSL,340,523,382,
TB2_NF15junctves_RSL,345,364,840,
TB2_NF16_KP,524,563,142,
TB2_NF17_RSL,355,561,473,
TB2_NF18_RSL,434,485,254,
TB2_NF19_RSL,404,418,34,
TB2_NF20_LES,325,522,216,
TB2_NF21_LES,307,549,1737,
TB2_NF24_LES,327,524,1256,
TB2_NF25_LES,391,445,57,
Tb2_NF26_LES,403,462,168,
Tb2_NF27_LES,399,452,165,
Tb2_NF28_LES,454,563,182,
Tb2_NF29_LES,285,445,210,
Tb2_NF31_LES,505,555,78,
Tb2_NF32_LES,310,563,1725,
Tb2_NF34_LES,302,525,619,
Tb2_NF35_LES,321,500,252,
Tb2_NF36_LES,340,563,500,
Tb2_NF37_LES,549,563,16,
Tb2_NF38_LES,535,563,60,
Tb2_NF39_LES,548,563,36,
Tb2_NF40_LES,270,563,429,
Tb2_NF41_LES,471,563,326,
Tb2_NF43_LES,450,563,114,
Tb2_NF44_LES,464,563,170,
Tb2_NF45_LES,491,563,76,
Tb2_NF46_LES,544,563,35,
Tb2_NF47_LES,495,563,95,
Tb2_NF48_LES,337,563,257,
Tb2_NF49_LES,359,521,191,
Tb2_NF50_LES,538,563,39,
Tb2_NF51_LES,491,563,73,
Tb2_NF52_LES,332,563,510,
Tb2_NF53_LES,348,525,227,
Tb2_NF54_LES,290,423,175,
Tb2_NF57_LES,384,563,356,
Tb2_NF58_LES,378,407,49,
Tb2_NF59_LES,368,535,244,
Tb2_NF63_LES,512,563,52,
Tb2_NF64_LES,414,563,152,
Tb2_NF65_LES,401,415,15,
Tb2_NF66_LES,349,439,118,
Tb2_NF67_LES,435,489,109,
Tb2_NF69_LES,408,563,204,
Tb2_NF70_LES,384,479,149,
TB2_NF71_LES,462,479,25,
TB2_shell_RSL,300,563,265,
TB2_T1Cell01_CM_KP,542,563,21,
TB2_T1Cell01_Nuc_DE,357,420,64,
TB2_T1Cell01_nuc_KP,547,563,16,
TB2_T1Cell02_nuc_KP,476,563,94,
TB2_T1Cell03_nuc_KP,545,563,29,
TB2_T1Cell04_nuc_KP,420,532,124,
TB2_T1Cell05_nuc_KP,463,535,85,
TB2_T1Cell06_Nuc_KP,465,538,105,
TB2_T1Cell07_nmito001_DSU,464,471,20,
TB2_t1cell08_CM_LES,345,499,827,
TB2_t1cell08_nuc_DE,381,463,97,
TB2_T1Cell09_CM_KP,487,530,63,
TB2_T1Cell09_nuc_KP,505,563,147,
TB2_t2cell01_atmito01_RKJ,406,430,27,
TB2_t2cell01_atmito02_RKJ,397,408,16,
TB2_t2cell01_atmito03_RKJ,456,474,23,
TB2_t2cell01_atmito04_RKJ,400,423,27,
TB2_t2cell01_atmito05_RKJ,392,397,6,
TB2_t2cell01_atmito06_RKJ,526,530,5,
TB2_t2cell01_atmito07_RKJ,465,505,40,
TB2_t2cell01_atmito08_RKJ,480,498,19,
TB2_t2cell01_atmito09_RKJ,497,514,18,
TB2_t2cell01_atmito10_RKJ,500,513,13,
TB2_t2cell01_atmito11_RKJ,488,497,10,
TB2_t2cell01_atmito12_RKJ,406,505,30,
TB2_t2cell01_atmito13_RKJ,385,491,44,
TB2_t2cell01_atmito14_RKJ,401,405,6,
TB2_t2cell01_atmito15_RKJ,402,404,3,
TB2_t2cell01_atmito16_RKJ,400,407,8,
TB2_t2cell01_atmito17_RKJ,404,407,5,
TB2_t2cell01_atmito18_RKJ,399,403,5,
TB2_t2cell01_atmito20_RKJ,509,515,7,
TB2_t2cell01_atmito21_RKJ,509,521,14,
TB2_t2cell01_atMito22_RKJ,521,531,11,
TB2_T2cell01_CM_LES,334,557,396,
TB2_t2cell01_nmito001_RKJ,421,506,106,
TB2_t2cell01_nmito002_RKJ,473,521,133,
TB2_t2cell01_nmito003_Rkj,412,485,134,
TB2_t2cell01_nmito004_RKJ,468,478,13,
TB2_t2cell01_nmito005_RKJ,472,479,8,
TB2_t2cell01_nmito006_RKJ,499,528,17,
TB2_t2cell01_nmito007_RKJ,513,521,19,
TB2_t2cell01_nmito008_RKJ,521,525,5,
TB2_t2cell01_nmito010_RKJ,507,529,108,
TB2_t2cell01_nmito011_RKJ,479,522,66,
TB2_t2cell01_nmito012_RKJ,501,515,19,
TB2_t2cell01_nmito013_RKJ,498,521,36,
TB2_t2cell01_nmito014_RKJ,437,505,217,
TB2_t2cell01_nmito015_RKJ,505,510,8,
TB2_t2cell01_nmito016_RKJ,399,474,164,
TB2_t2cell01_nmito017_RKJ,422,443,23,
TB2_t2cell01_nmito018_RKJ,421,432,16,
TB2_t2cell01_nmito019_RKJ,468,495,56,
TB2_t2cell01_nmito020_RKJ,465,503,44,
TB2_t2cell01_nmito021_RKJ,500,511,12,
TB2_t2cell01_nmito023_RKJ,496,509,20,
TB2_t2cell01_nmito024_RKJ,466,499,78,
TB2_t2cell01_nmito025_RKJ,499,522,27,
TB2_t2cell01_nmito026_RKJ,495,502,9,
TB2_t2cell01_nmito027_RKJ,393,405,13,
TB2_t2cell01_nmito028_RKJ,361,401,83,
TB2_t2cell01_nmito029_RKJ,420,499,97,
TB2_t2cell01_nmito030_RKJ,422,432,11,
TB2_t2cell01_nmito031_RKJ,424,460,47,
TB2_t2cell01_nmito032_RKJ,428,438,11,
TB2_t2cell01_nmito033_RKJ,424,434,11,
TB2_t2cell01_nmito034_RKJ,420,431,20,
TB2_t2cell01_nmito035_RKJ,407,455,86,
TB2_t2cell01_nmito036_RKJ,440,457,18,
TB2_t2cell01_nmito037_RKJ,432,443,12,
TB2_t2cell01_nmito038_RKJ,436,443,8,
TB2_t2cell01_nmito039_RKJ,430,467,39,
TB2_t2cell01_nmito040_RKJ,426,452,33,
TB2_t2cell01_nmito041_RKJ,456,492,122,
TB2_t2cell01_nmito042_RKJ,470,509,85,
TB2_t2cell01_nmito043_RKJ,458,519,74,
TB2_t2cell01_nmito044_RKJ,468,500,33,
TB2_t2cell01_nmito045_RKJ,496,503,8,
TB2_t2cell01_nmito046_RKJ,480,505,79,
TB2_t2cell01_nmito047_RKJ,462,520,135,
TB2_t2cell01_nmito048_RKJ,462,477,16,
TB2_t2cell01_nmito049_RKJ,477,492,16,
TB2_t2cell01_nmito050_RKJ,483,491,11,
TB2_t2cell01_nmito051_RKJ,480,517,56,
TB2_t2cell01_nmito052_RKJ,459,533,349,
TB2_t2cell01_nmito053_RKJ,518,520,3,
TB2_t2cell01_nmito054_RKJ,495,500,9,
TB2_t2cell01_nmito055_RKJ,480,525,71,
TB2_t2cell01_nmito056_RKJ,513,529,49,
TB2_t2cell01_nmito057_RKJ,508,521,19,
TB2_t2cell01_nmito058_RKJ,509,515,10,
TB2_t2cell01_nmito059_RKJ,513,518,6,
TB2_t2cell01_nmito060_RKJ,513,519,13,
TB2_t2cell01_nmito061_RKJ,470,521,212,
TB2_t2cell01_nmito062_RKJ,516,519,4,
TB2_t2cell01_nmito063_RKJ,525,528,4,
TB2_t2cell01_nmito064_RKJ,526,531,6,
TB2_t2cell01_nmito065_RKJ,519,527,15,
TB2_t2cell01_nmito066_RKJ,526,535,11,
TB2_t2cell01_nmito067_RKJ,517,529,13,
TB2_t2cell01_nmito068_RKJ,517,527,25,
TB2_t2cell01_nmito069_RKJ,510,520,10,
TB2_t2cell01_nmito070_RKJ,506,515,9,
TB2_t2cell01_nmito071_RKJ,506,513,12,
TB2_t2cell01_nmito072_RKJ,516,519,4,
TB2_t2cell01_nmito073_RKJ,513,517,5,
TB2_t2cell01_nmito074_RKJ,504,509,8,
TB2_t2cell01_nmito075_RKJ,495,515,20,
TB2_t2cell01_nmito076_RKJ,489,504,22,
TB2_t2cell01_nmito077_RKJ,488,507,71,
TB2_t2cell01_nmito078_RKJ,474,485,14,
TB2_t2cell01_nmito079_RKJ,482,486,6,
TB2_t2cell01_nmito080_RKJ,485,491,9,
TB2_t2cell01_nmito081_RKJ,478,484,7,
TB2_t2cell01_nmito082_RKJ,481,490,12,
TB2_t2cell01_nmito083_RKJ,487,500,19,
TB2_t2cell01_nmito084_RKJ,492,508,56,
TB2_t2cell01_nmito085_RKJ,489,505,35,
TB2_t2cell01_nmito086_RKJ,497,521,46,
TB2_t2cell01_nmito087_RKJ,499,509,21,
TB2_t2cell01_nmito088_RKJ,496,527,7,
TB2_t2cell01_nmito089_RKJ,511,522,13,
TB2_t2cell01_nmito090_RKJ,507,517,10,
TB2_t2cell01_nmito091_RKJ,480,494,12,
TB2_t2cell01_nmito092_RKJ,479,492,12,
TB2_t2cell01_nmito093_RKJ,397,412,26,
TB2_t2cell01_nmito094_RKJ,439,451,15,
TB2_t2cell01_nmito095_RKJ,365,384,39,
TB2_t2cell01_nmito096_RKJ,426,447,28,
TB2_t2cell01_nmito097_RKJ,409,415,7,
TB2_t2cell01_nmito098_RKJ,382,396,26,
TB2_t2cell01_nmito099_RKJ,382,398,18,
TB2_t2cell01_nmito100_RKJ,397,405,10,
TB2_t2cell01_nmito101_RKJ,350,384,84,
TB2_t2cell01_nmito102_RKJ,350,355,6,
TB2_t2cell01_nmito103_RKJ,352,375,30,
TB2_t2cell01_nmito104_RKJ,363,370,26,
TB2_t2cell01_nmito105_RKJ,370,376,8,
TB2_t2cell01_nmito106_RKJ,382,393,36,
TB2_t2cell01_nmito107_RKJ,370,400,43,
TB2_t2cell01_nmito108_RKJ,351,382,78,
TB2_t2cell01_nmito109_RKJ,354,425,173,
TB2_t2cell01_nmito110_RKJ,355,384,96,
TB2_t2cell01_nmito111_RKJ,373,412,50,
TB2_t2cell01_nmito112_RKJ,367,374,8,
TB2_t2cell01_nmito113_RKJ,360,363,4,
TB2_t2cell01_nmito114_RKJ,420,426,7,
TB2_t2cell01_nmito115_RKJ,393,404,14,
TB2_t2cell01_nmito116_RKJ,397,405,9,
TB2_t2cell01_nmito117_RKj,395,401,7,
TB2_t2cell01_nmito118_RKJ,399,403,5,
TB2_t2cell01_nmito119_RKJ,356,372,18,
TB2_t2cell01_nmito120_RKJ,356,433,83,
TB2_t2cell01_nmito121_RKJ,370,390,30,
TB2_t2cell01_nmito122_RKJ,364,367,4,
TB2_t2cell01_nmito123_RKJ,345,362,21,
TB2_t2cell01_nmito124_RKJ,351,378,43,
TB2_t2cell01_nmito125_RKJ,355,379,25,
TB2_t2cell01_nmito126_RKJ,396,398,3,
TB2_t2cell01_nmito127_RKJ,350,363,16,
TB2_t2cell01_nmito128_RKJ,356,359,4,
TB2_t2cell01_nmito129_RKJ,357,360,4,
TB2_t2cell01_nmito130_RKJ,357,361,5,
TB2_t2cell01_nmito131_RKJ,367,381,15,
TB2_t2cell01_nmito132_RKJ,375,386,28,
TB2_t2cell01_nmito133_RKJ,380,385,6,
TB2_t2cell01_nmito134_RKJ,384,396,13,
TB2_t2cell01_nmito135_RKJ,384,392,15,
TB2_t2cell01_nmito136_RKJ,390,394,5,
TB2_t2cell01_nmito137_RKJ,394,397,4,
TB2_t2cell01_nmito138_RKJ,409,415,7,
TB2_t2cell01_nmito139_RKJ,404,408,5,
TB2_t2cell01_nmito140_RKJ,387,394,11,
TB2_t2cell01_nmito141_RKJ,391,415,25,
TB2_t2cell01_nmito142_RKJ,404,420,15,
TB2_t2cell01_nmito143_RKJ,412,440,29,
TB2_t2cell01_nmito144_RKJ,418,451,145,
TB2_t2cell01_nmito145_RKJ,419,435,23,
TB2_t2cell01_nmito146_RKJ,402,407,6,
TB2_t2cell01_nmito147_RKJ,412,423,15,
TB2_t2cell01_nmito148_RKJ,403,443,49,
TB2_t2cell01_nmito150_RKJ,406,409,4,
TB2_t2cell01_nmito151_RKJ,420,428,9,
TB2_t2cell01_nmito152_RKJ,445,450,6,
TB2_t2cell01_nmito153_RKJ,381,527,17,
TB2_t2cell01_nuc_RKJ,423,523,101,
TB2_t2cell01_transmito01_RKJ,385,395,11,
TB2_t2cell01_transmito02_RKJ,477,511,40,
TB2_t2cell01_transmito03_RKJ,363,432,168,
TB2_t2cell01_transmito04_RKJ,352,399,78,
TB2_t2cell01_transmito05_RKJ,390,404,19,
TB2_t2cell01_transmito06_RKJ,430,448,20,
TB2_t2cell02_atmito01_RSL,401,432,64,
TB2_t2cell02_atmito02_RSL,410,447,82,
TB2_t2cell02_atmito03_RSL,391,419,55,
TB2_t2cell02_atmito04_RSL,432,457,59,
TB2_t2cell02_atmito05_RKJ,428,441,13,
TB2_t2cell02_atmito06_RSL,440,462,49,
TB2_t2cell02_atmito07_LES,449,459,12,
TB2_t2cell02_atmito08_RKJ,450,462,13,
TB2_t2cell02_atmito09_RKJ,450,454,6,
TB2_t2cell02_atmito10_RSL,474,487,28,
TB2_t2cell02_atmito11_RSL,472,485,38,
TB2_t2cell02_atmito12_RSL,480,501,44,
TB2_t2cell02_atmito13_RSL,408,423,22,
TB2_T2cell02_CM_RSL,349,557,365,
TB2_t2cell02_nmito001_DSU,406,415,26,
TB2_T2Cell02_Nmito001_LES,455,469,30,
TB2_t2cell02_nmito002_DSU,401,423,46,
TB2_T2Cell02_Nmito003_LES,448,457,10,
TB2_t2cell02_nmito003_LES,414,420,7,
TB2_t2cell02_nmito004_DSU,405,422,48,
TB2_t2cell02_nmito005_DSU,408,423,32,
TB2_t2cell02_nmito006_DSU,402,420,38,
TB2_t2cell02_nmito007_DSU,401,421,62,
TB2_t2cell02_nmito008_DSU,416,427,24,
TB2_t2cell02_nmito009_DSU,418,421,10,
TB2_t2cell02_nmito010_DSU,418,431,28,
TB2_t2cell02_nmito011_DSU,418,427,20,
TB2_t2cell02_nmito012_DSU,418,427,24,
TB2_t2cell02_nmito013_DSU,418,429,24,
TB2_t2cell02_nmito014_DSU,418,419,4,
TB2_t2cell02_nmito015_DSU,418,428,22,
TB2_t2cell02_nmito016_LES,420,434,14,
TB2_t2cell02_nmito017_DSU,421,449,56,
TB2_t2cell02_nmito018_DSU,421,428,20,
TB2_t2cell02_nmito019_DSU,420,427,18,
TB2_t2cell02_nmito020_DSU,424,432,28,
TB2_t2cell02_nmito021_DSU,422,427,12,
TB2_t2cell02_nmito022_DSU,424,436,26,
TB2_t2cell02_nmito023_DSU,425,429,12,
TB2_t2cell02_nmito024_LES,424,457,60,
TB2_t2cell02_nmito025_LES,454,480,29,
TB2_t2cell02_nmito026_LES,428,457,39,
TB2_t2cell02_nmito027_LES,428,430,4,
TB2_t2cell02_nmito028_DSU,425,461,90,
TB2_t2cell02_nmito029_DSU,427,430,12,
TB2_t2cell02_nmito030_DSU,428,431,10,
TB2_t2cell02_nmito031_DSU,429,436,26,
TB2_t2cell02_nmito032_DSU,429,447,40,
TB2_t2cell02_nmito033_DSU,426,441,31,
TB2_t2cell02_nmito034_DSU,434,451,34,
TB2_t2cell02_nmito035_DSU,434,441,14,
TB2_t2cell02_nmito036_DSU,435,445,20,
TB2_t2cell02_nmito037_DSU,438,465,55,
TB2_t2cell02_nmito038_DSU,434,457,46,
TB2_t2cell02_nmito039_DSU,438,448,22,
TB2_t2cell02_nmito040_DSU,439,461,44,
TB2_t2cell02_nmito041_DSU,438,455,50,
TB2_t2cell02_nmito042_DSU,439,445,14,
TB2_t2cell02_nmito043_DSU,442,447,20,
TB2_t2cell02_nmito044_DSU,443,450,16,
TB2_t2cell02_nmito045_DSU,444,445,4,
TB2_t2cell02_nmito046_DSU,445,453,16,
TB2_t2cell02_nmito047_DSU,448,451,10,
TB2_t2cell02_nmito048_DSU,453,455,6,
TB2_t2cell02_nmito049_DSU,453,455,8,
TB2_t2cell02_nmito050_DSU,458,465,18,
TB2_t2cell02_nmito051_DSU,458,476,38,
TB2_t2cell02_nmito052_DSU,458,473,38,
TB2_t2cell02_nmito053_DSU,463,471,24,
TB2_t2cell02_nmito054_DSU,466,469,8,
TB2_t2cell02_nmito055_DSU,472,479,20,
TB2_t2cell02_nmito056_DSU,393,408,36,
TB2_t2cell02_nmito057_DSU,387,407,44,
TB2_t2cell02_nmito058_DSU,391,405,54,
TB2_t2cell02_nmito059_DSU,389,399,32,
TB2_t2cell02_nmito060_DSU,389,392,8,
TB2_T2Cell02_nmito061_DSU,454,456,6,
TB2_T2Cell02_nmito062_DSU,456,460,10,
TB2_T2Cell02_nmito063_DSU,381,382,4,
TB2_T2Cell02_nmito064_DSU,386,388,6,
TB2_T2Cell02_nmito065_DSU,387,392,14,
TB2_T2Cell02_Nmito066_DSU,385,388,8,
TB2_T2Cell02_nmito067_DSU,383,386,8,
TB2_T2Cell02_nmito068_DSU,382,389,16,
TB2_T2Cell02_nmito069_DSU,383,386,8,
TB2_T2Cell02_nmito070_DSU,375,382,16,
TB2_T2Cell02_Nuc_DE,379,482,105,
TB2_t2cell02_nuc_RSL,379,483,197,
TB2_T2Cell03_atmito01_LES,460,467,8,
TB2_T2Cell03_atmito02_DSU,460,463,4,
TB2_T2Cell03_atmito03_DSU,451,461,12,
TB2_T2Cell03_atmito04_LES,460,473,14,
TB2_T2Cell03_atmito05_DSU,453,461,28,
TB2_t2cell03_atmito05_DSU,452,452,1,
TB2_T2Cell03_atmito06,433,441,10,
TB2_T2Cell03_atmito07,428,441,15,
TB2_T2Cell03_atmito08,422,441,22,
TB2_T2Cell03_atmito09_LES,411,427,17,
TB2_T2Cell03_atmito10_LES,444,463,24,
TB2_T2Cell03_atmito11_LES,469,474,7,
TB2_t2cell03_atmito12_RSL,463,475,15,
TB2_t2cell03_atmito13_RSL,403,417,15,
TB2_t2cell03_atmito15_RSL,422,445,50,
TB2_t2cell03_atmito17_RSL,465,480,42,
TB2_T2Cell03_CM_LES,375,551,272,
TB2_t2cell03_nmito001_DSU,448,452,5,
TB2_T2Cell03_nmito001_LES,444,458,22,
TB2_T2Cell03_nmito002_LES,456,463,8,
TB2_T2Cell03_nmito003_LES,446,455,18,
TB2_T2Cell03_nmito004_LES,456,460,5,
TB2_T2Cell03_nmito005_LES,450,465,16,
TB2_T2Cell03_nmito006_LES,450,462,13,
TB2_T2Cell03_nmito007_LES,444,472,76,
TB2_T2Cell03_nmito008_LES,467,473,7,
TB2_T2Cell03_nmito009_LES,450,480,36,
TB2_T2Cell03_nmito010_LES,458,465,9,
TB2_T2Cell03_nmito011_LES,435,473,62,
TB2_T2Cell03_nmito012_LES,416,478,106,
TB2_T2Cell03_nmito013_LES,477,482,6,
TB2_T2Cell03_nmito014_LES,477,484,8,
TB2_T2Cell03_nmito015_LES,438,488,76,
TB2_T2Cell03_nmito016_LES,485,495,12,
TB2_T2Cell03_nmito017_LES,473,485,13,
TB2_T2Cell03_nmito018_LES,490,492,3,
TB2_T2Cell03_nmito019_LES,486,495,10,
TB2_T2Cell03_nmito020_LES,482,492,15,
TB2_T2Cell03_nmito021_LES,474,486,13,
TB2_T2Cell03_nmito022_LES,470,480,11,
TB2_T2Cell03_nmito023_LES,499,511,17,
TB2_T2Cell03_nmito024_LES,473,504,34,
TB2_T2Cell03_nmito025_LES,474,483,15,
TB2_T2Cell03_nmito026_LES,484,489,6,
TB2_T2Cell03_nmito027_LES,488,496,10,
TB2_T2Cell03_nmito028_LES,468,488,26,
TB2_T2Cell03_nmito029_LES,425,478,127,
TB2_T2Cell03_nmito030_LES,460,463,5,
TB2_T2Cell03_nmito031_LES,471,495,51,
TB2_T2Cell03_nmito032_LES,436,476,173,
TB2_T2Cell03_nmito033_LES,446,464,30,
TB2_t2cell03_nmito034_LES,426,434,9,
TB2_T2Cell03_nmito034_LES,416,447,93,
TB2_T2Cell03_nmito035_LES,404,459,106,
TB2_T2Cell03_nmito036_LES,422,443,31,
TB2_T2Cell03_nmito040_LES,393,402,10,
TB2_T2Cell03_nmito041_LES,405,451,34,
TB2_T2Cell03_nmito042_LES,403,408,7,
TB2_T2Cell03_nmito043_LES,394,398,6,
TB2_t2cell03_nmito044_DSU,395,415,48,
TB2_T2Cell03_nmito045_LES,399,412,14,
TB2_t2cell03_nmito046_DSU,400,403,10,
TB2_t2cell03_nmito047_DSU,407,412,18,
TB2_t2cell03_nmito048_DSU,409,419,36,
TB2_t2cell03_nmito049_DSU,418,423,16,
TB2_t2cell03_nmito050_DSU,416,419,10,
TB2_t2cell03_nmito051_DSU,408,416,24,
TB2_t2cell03_nmito052_DSU,416,429,44,
TB2_t2cell03_nmito053_DSU,420,441,147,
TB2_t2cell03_nmito054_DSU,418,423,14,
TB2_t2cell03_nmito055_DSU,421,423,6,
TB2_t2cell03_nmito056_DSU,420,423,8,
TB2_t2cell03_nmito057_DSU,422,444,56,
TB2_t2cell03_nmito058_DSU,427,447,46,
TB2_T2Cell03_nmito059_DSU,399,405,7,
TB2_T2Cell03_nmito060_DSU,401,404,4,
TB2_t2cell03_nmito061_DSU,418,429,24,
TB2_t2cell03_nmito062_DSU,428,449,50,
TB2_t2cell03_nmito063_DSU,433,447,36,
TB2_t2cell03_nmito064_DSU,416,435,42,
TB2_t2cell03_nmito065_DSU,432,445,22,
TB2_T2Cell03_nmito066_LES,387,392,9,
TB2_t2cell03_nmito067_DSU,408,415,16,
TB2_t2cell03_nmito068_DSU,416,424,24,
TB2_T2Cell03_nmito069_LES,391,404,18,
TB2_t2cell03_nmito070_DSU,434,448,44,
TB2_t2cell03_nmito073_DSU,433,447,30,
TB2_t2cell03_nmito074_DSU,430,449,108,
TB2_t2cell03_nmito078_DSU,420,423,10,
TB2_t2cell03_nmito079_DSU,416,423,22,
TB2_t2cell03_nmito080_LES,401,408,10,
TB2_T2Cell03_nmito081_DSU,460,466,28,
TB2_t2cell03_nmito082_DSU,475,475,2,
TB2_T2Cell03_Nmito082_DSU,468,474,26,
TB2_T2Cell03_nmito083_DSU,461,464,12,
TB2_T2Cell03_nmito084_DSU,462,477,32,
TB2_t2cell03_nmito084_DSU,458,475,33,
TB2_T2Cell03_nmito085_DSU,464,469,22,
TB2_t2cell03_nmito085_DSU,460,473,19,
TB2_T2Cell03_nmito086_DSU,448,455,11,
TB2_T2Cell03_nmito087_DSU,448,451,8,
TB2_T2Cell03_nmito088_DSU,462,466,10,
TB2_T2Cell03_nmito089_DSU,444,449,12,
TB2_T2Cell03_nmito090_DSU,399,406,24,
TB2_T2Cell03_nmito091_DSU,434,450,19,
TB2_T2Cell03_nmito092_DSU,463,465,8,
TB2_t2cell03_nmito093_LES,399,405,7,
TB2_T2Cell03_nmito094_DSU,381,393,33,
TB2_t2cell03_nmito095_DSU,460,465,17,
TB2_t2cell03_nmito096_LES,401,423,27,
TB2_t2cell03_nmito097_LES,422,425,4,
TB2_t2cell03_nmito098_LES,409,425,22,
TB2_T2Cell03_nmito099_DSU,460,467,32,
TB2_t2cell03_nmito100_LES,403,411,9,
TB2_t2cell03_nmito101_LES,413,423,11,
TB2_T2Cell03_nmito102_DSU,446,449,12,
TB2_T2Cell03_nmito103_DSU,450,451,4,
TB2_T2Cell03_nmito104_DSU,434,469,115,
TB2_T2Cell03_nmito105_DSU,454,459,24,
TB2_T2Cell03_nmito106_DSU,448,456,22,
TB2_T2Cell03_nmito107_DSU,470,471,6,
TB2_T2Cell03_nmito108_DSU,458,464,14,
TB2_t2cell03_nmito109_DSU,423,462,72,
TB2_t2cell03_nmito110_DSU,448,464,53,
TB2_T2Cell03_nmito111_DSU,461,463,6,
TB2_T2Cell03_nmito112_DSU,460,462,8,
TB2_T2Cell03_nmito113_DSU,457,461,12,
TB2_t2cell03_nmito114_DSU,443,456,29,
