Object,Start,End,Count,
TB1_NF66_LES,17,43,27,
TB1_NF68_LES,1,49,56,
TB1_NF69_LES,72,91,36,
TB1_NF70_LES,162,232,161,
TB1_NF71_LES,162,254,204,
TB1_NF72_LES,135,235,244,
TB1_NF73_LES,97,156,154,
TB1_NF74_LES,1,51,67,
TB1_NF75_RSL,120,138,32,
TB1_Nmito1a_RSL,115,126,24,
TB1_Nmito1a-cristae_RSL,116,125,384,
TB1_Nmito2a_RSL,123,135,24,
TB1_Nmito2a-cristae_RSL,124,134,626,
TB1_OuterEpi_RSL,1,142,393,
TB1_SeptalCell01_CM_LES,71,154,116,
TB1_SeptalCell01_nuc_LES,75,145,96,
TB1_SeptalCell02_CM_LES,121,209,114,
TB1_SeptalCell02_nuc_LES,128,201,95,
TB1_Shell_RSL,1,229,500,
TB1_t1cell01_CM_RKJ,72,149,76,
TB1_t1cell02_nuc_RKJ,62,143,114,
TB1_t1cell03_CM_RKJ,1,72,124,
TB1_t1cell03_nuc_RKJ,2,61,62,
TB1_T1Cell04_CM_TEF,117,156,26,
TB1_T1Cell05_CM_LES,1,117,106,
TB1_T1Cell05_nuc_LES,1,115,127,
TB1_t1cell17_CM_RKJ,1,69,309,
TB1_t1cell18_CM_RKJ,1,90,334,
TB1_t1cell18_nuc_RKJ,14,84,87,
TB1_T2Cell01_atmito01_RSL,117,133,32,
TB1_T2Cell01_atmito01-cristae_RSL,117,132,280,
TB1_T2Cell01_atmito02_RSL,118,132,44,
TB1_T2Cell01_atmito02-cristae_RSL,119,131,504,
TB1_T2Cell01_atmito03_RSL,120,134,34,
TB1_T2Cell01_atmito03-cristae_RSL,122,133,460,
TB1_T2Cell01_atmito04_RSL,128,135,18,
TB1_T2Cell01_atmito04-cristae_RSL,129,134,72,
TB1_T2Cell01_atmito05_RSL,116,134,38,
TB1_T2Cell01_atmito06_RSL,119,134,44,
TB1_T2Cell01_atmito07_RSL,120,129,22,
TB1_T2Cell01_atmito12_RSL,116,120,16,
TB1_T2Cell01_atmito13_RSL,134,157,60,
TB1_T2Cell01_atmito14_RSL,158,166,26,
TB1_T2Cell01_atmito16_RSL,166,174,18,
TB1_T2Cell01_atmito17_RSL,98,126,58,
TB1_T2Cell01_atmito18_RSL,71,104,73,
TB1_T2Cell01_atmito19_RSL,55,85,62,
TB1_T2Cell01_atmito20_RSL,86,99,29,
TB1_T2Cell01_atmito21_LES,161,168,16,
TB1_T2Cell01_atmito23_RSL,167,180,60,
TB1_T2Cell01_atMito25_LES,128,140,12,
TB1_T2Cell01_atMito-hybrid_24_LES,126,140,25,
TB1_T2Cell01_atMito-hybrid_24-cristae_LES,132,140,134,
TB1_T2cell01_CM_RSL,1,204,855,
TB1_T2Cell01_Nmito001_RSL,119,129,34,
TB1_T2Cell01_Nmito002_RSL,116,145,96,
TB1_T2Cell01_Nmito003_RSL,142,148,16,
TB1_T2Cell01_Nmito004_RSL,135,151,56,
TB1_T2Cell01_Nmito005_RSL,142,187,110,
TB1_T2Cell01_Nmito006_RSL,181,192,42,
TB1_T2Cell01_Nmito007_RSL,166,184,38,
TB1_T2Cell01_Nmito008_RSL,178,192,30,
TB1_T2Cell01_Nmito009_RSL,188,195,20,
TB1_T2Cell01_Nmito010_RSL,181,187,14,
TB1_T2Cell01_Nmito011_RSL,197,199,8,
TB1_T2Cell01_Nmito012_RSL,194,198,10,
TB1_T2Cell01_Nmito013_RSL,164,190,90,
TB1_T2Cell01_Nmito014_RSL,174,189,32,
TB1_T2Cell01_Nmito015_RSL,176,186,34,
TB1_T2Cell01_Nmito016_RSL,165,179,44,
TB1_T2Cell01_Nmito017_RSL,182,185,8,
TB1_T2Cell01_Nmito018_RSL,160,180,56,
TB1_T2Cell01_Nmito019_RSL,155,160,12,
TB1_T2Cell01_Nmito020_RSL,154,160,16,
TB1_T2Cell01_Nmito021_RSL,150,162,34,
TB1_T2Cell01_Nmito022_RSL,154,165,24,
TB1_T2Cell01_Nmito023_RSL,153,167,42,
TB1_T2Cell01_Nmito024_RSL,149,159,28,
TB1_T2Cell01_Nmito025_RSL,142,167,74,
TB1_T2Cell01_Nmito026_RSL,129,159,66,
TB1_T2Cell01_Nmito027_RSL,124,132,20,
TB1_T2Cell01_Nmito028_RSL,129,142,58,
TB1_T2Cell01_Nmito029_RSL,134,150,50,
TB1_T2Cell01_Nmito030_RSL,146,167,82,
TB1_T2Cell01_Nmito031,168,178,28,
TB1_T2Cell01_Nmito032_RSL,159,164,12,
TB1_T2Cell01_Nmito033_RSL,138,166,168,
TB1_T2Cell01_Nmito034_RSL,128,147,38,
TB1_T2Cell01_Nmito035_RSL,147,153,16,
TB1_T2Cell01_Nmito036_RSL,152,155,10,
TB1_T2Cell01_Nmito037_RSL,139,155,34,
TB1_T2Cell01_Nmito038_RSL,134,162,116,
TB1_T2Cell01_Nmito039_RSL,129,140,22,
TB1_T2Cell01_Nmito040_RSL,127,142,32,
TB1_T2Cell01_Nmito041_RSL,118,128,22,
TB1_T2Cell01_Nmito042_RSL,96,140,190,
TB1_T2Cell01_Nmito043_RSL,87,153,268,
TB1_T2Cell01_Nmito044_RSL,69,93,85,
TB1_T2Cell01_Nmito045_RSL,45,58,34,
TB1_T2Cell01_Nmito046_RSL,60,70,28,
TB1_T2Cell01_Nmito047_RSL,64,84,96,
TB1_T2Cell01_Nmito048_RSL,52,93,83,
TB1_T2Cell01_Nmito049_RSL,29,59,86,
TB1_T2Cell01_Nmito050_RSL,81,105,51,
TB1_T2Cell01_Nmito051_RSL,81,105,51,
TB1_T2Cell01_Nmito052_RSL,96,153,184,
TB1_T2Cell01_Nmito053_RSL,104,108,14,
TB1_T2Cell01_Nmito054_RSL,98,107,20,
TB1_T2Cell01_Nmito055_RSL,95,99,18,
TB1_T2Cell01_Nmito056_RSL,100,111,42,
TB1_T2Cell01_Nmito057_RSL,111,121,28,
TB1_T2Cell01_Nmito058_RSL,117,125,26,
TB1_T2Cell01_Nmito059_RSL,121,133,44,
TB1_T2Cell01_Nmito060_RSL,127,133,14,
TB1_T2Cell01_Nmito061_RSL,95,135,103,
TB1_T2Cell01_Nmito062_RSL,99,110,28,
TB1_T2Cell01_Nmito063_RSL,106,118,48,
TB1_T2Cell01_Nmito064_LES,116,143,74,
TB1_T2Cell01_Nmito065_LES,122,127,16,
TB1_T2Cell01_Nmito066_LES,131,141,64,
TB1_T2Cell01_Nmito067_LES,122,140,36,
TB1_T2Cell01_Nmito068_LES,1,4,4,
TB1_T2Cell01_Nmito069_LES,1,13,25,
TB1_T2Cell01_Nmito070_LES,1,13,27,
TB1_T2Cell01_Nmito071_LES,187,189,6,
TB1_T2Cell01_Nmito072_LES,179,186,18,
TB1_T2Cell01_Nmito073_LES,176,180,16,
TB1_T2Cell01_Nmito074_LES,167,184,52,
TB1_T2Cell01_Nmito075_LES,165,180,38,
TB1_T2Cell01_Nmito076_LES,162,179,64,
TB1_T2Cell01_Nmito077_LES,173,178,14,
TB1_T2Cell01_Nmito078_LES,141,175,76,
TB1_T2Cell01_Nmito079_LES,150,160,36,
TB1_T2Cell01_Nmito080_LES,134,175,136,
TB1_T2Cell01_Nmito081_LES,148,176,116,
TB1_T2Cell01_Nmito082_LES,128,159,122,
TB1_T2Cell01_Nmito083_LES,116,166,208,
TB1_T2Cell01_Nmito084_LES,151,159,22,
TB1_T2Cell01_Nmito085_LES,143,161,40,
TB1_T2Cell01_Nmito086_LES,139,162,76,
TB1_T2Cell01_Nmito087_LES,167,173,14,
TB1_T2Cell01_Nmito088_LES,158,174,46,
TB1_T2Cell01_Nmito089_LES,173,178,12,
TB1_T2Cell01_Nmito090_LES,171,173,6,
TB1_T2Cell01_Nmito091_LES,161,170,32,
TB1_T2Cell01_Nmito092_LES,160,167,26,
TB1_T2Cell01_Nmito093_LES,166,180,30,
TB1_T2Cell01_Nmito094_LES,153,165,32,
TB1_T2Cell01_Nmito095_LES,142,165,56,
TB1_T2Cell01_Nmito097_LES,162,169,18,
TB1_T2Cell01_Nmito098_LES,160,169,22,
TB1_T2Cell01_Nmito099_LES,126,165,170,
TB1_T2Cell01_Nmito100_LES,120,151,74,
TB1_T2Cell01_Nmito101_LES,118,122,14,
TB1_T2Cell01_Nmito102_LES,119,129,25,
TB1_T2Cell01_Nmito103_LES,167,171,10,
TB1_T2Cell01_Nmito104_LES,164,169,12,
TB1_T2Cell01_Nmito105_LES,161,168,16,
TB1_T2Cell01_Nmito106_LES,148,164,64,
TB1_T2Cell01_Nmito107_LES,131,158,58,
TB1_T2Cell01_Nmito108_LES,139,146,24,
TB1_T2Cell01_Nmito109_LES,131,149,48,
TB1_T2Cell01_Nmito110_LES,149,155,14,
TB1_T2Cell01_Nmito111_LES,142,148,14,
TB1_T2Cell01_Nmito112_LES,147,149,6,
TB1_T2Cell01_Nmito114_LES,131,145,36,
TB1_T2Cell01_Nmito115_LES,136,148,26,
TB1_T2Cell01_Nmito116_LES,133,148,38,
TB1_T2Cell01_Nmito117_LES,139,144,16,
TB1_T2Cell01_Nmito118_LES,139,170,64,
TB1_T2Cell01_Nmito119_LES,133,143,28,
TB1_T2Cell01_Nmito120_LES,146,150,10,
TB1_T2Cell01_Nmito121_LES,144,147,8,
TB1_T2Cell01_Nmito122_LES,139,142,8,
TB1_T2Cell01_Nmito123_LES,131,139,24,
TB1_T2Cell01_Nmito124_LES,125,141,34,
TB1_T2Cell01_Nmito125_LES,134,140,14,
TB1_T2Cell01_Nmito126_LES,128,141,34,
TB1_T2Cell01_Nmito128_LES,132,158,90,
TB1_T2Cell01_Nmito129_LES,137,146,20,
TB1_T2Cell01_Nmito130_LES,132,141,24,
