Object,Start,End,Volume,
TB1_NF47_LES,1,149,53.8113,
TB1_NF48_LES,1,136,21.5865,
TB1_NF50_LES,1,35,5.55135,
TB1_NF51_LES,1,62,9.20473,
TB1_NF52_LES,1,115,38.9292,
TB1_NF53_LES,1,247,41.2563,
TB1_NF54_LES,57,57,0.0100258,
TB1_NF54_RSL,1,197,119.403,
TB1_NF55_LES,1,90,6.45106,
TB1_NF56_LES,1,96,9.80648,
TB1_NF57_LES,33,94,7.93479,
TB1_NF58_LES,1,122,9.80839,
TB1_NF59_LES,44,128,10.0835,
TB1_NF60_LES,1,127,3.23536,
TB1_NF61_LES,138,216,20.2354,
TB1_NF62_LES,68,280,27.5123,
TB1_NF63_LES,1,99,15.7998,
TB1_NF66_LES,17,43,1.61127,
TB1_NF68_LES,1,49,6.70927,
TB1_NF69_LES,72,91,3.89899,
TB1_NF70_LES,162,232,10.2375,
TB1_NF71_LES,162,254,17.6593,
TB1_NF72_LES,135,235,10.8241,
TB1_NF73_LES,97,156,7.52917,
TB1_NF74_LES,1,51,6.02877,
TB1_NF75_RSL,120,138,0.616542,
TB1_Nmito1a_RSL,115,126,0.956265,
TB1_Nmito1a-cristae_RSL,116,125,0.420514,
TB1_Nmito2a_RSL,123,135,1.2555,
TB1_Nmito2a-cristae_RSL,124,134,0.619688,
TB1_OuterEpi_RSL,1,142,4956.43,
TB1_SeptalCell01_CM_LES,71,154,471.669,
TB1_SeptalCell01_nuc_LES,75,145,159.564,
TB1_SeptalCell02_CM_LES,121,209,423.107,
TB1_SeptalCell02_nuc_LES,128,201,146.743,
TB1_Shell_RSL,1,229,49797.7,
TB1_t1cell01_CM_RKJ,118,149,155.348,
TB1_t1cell02_CM_RSL,41,146,257.137,
TB1_t1cell02_nuc_RKJ,62,143,132.7,
TB1_t1cell03_CM_RKJ,1,72,261.026,
TB1_t1cell03_nuc_RKJ,2,61,113.916,
TB1_T1Cell04_CM_TEF,45,175,598.109,
TB1_T1Cell04_nuc_RSL,50,172,69.1033,
TB1_T1Cell05_CM_LES,1,117,179.308,
TB1_T1Cell05_nuc_LES,1,115,148.082,
TB1_T1Cell06_CM_RSL,1,86,245.083,
TB1_T1Cell06_NUC_RSL,1,75,68.8439,
TB1_T1Cell07_CM_RSL,1,109,213.885,
TB1_T1Cell07_NUC_RSL,1,105,60.0573,
TB1_t1cell08_CM_RSL,1,157,351.175,
TB1_t1cell08_NUC_RSL,1,141,47.5508,
TB1_t1cell17_CM_RKJ,1,69,304.301,
TB1_t1cell18_CM_RKJ,1,90,409.071,
TB1_t1cell18_nuc_RKJ,14,84,141.532,
TB1_T2Cell01_atmito01_RSL,117,133,0,
TB1_T2Cell01_atmito01-cristae_RSL,117,132,0.712273,
TB1_T2Cell01_atmito02_RSL,118,132,0.496948,
