TASTEBUD,BUDFILENAME,NUCLEUSFILENAME,cellType,Health
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_85,IV,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_86_cw,II/III,immature
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_87_cw,I,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_88,II,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_89_cw,I,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_90_cw,I,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_92,I,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_93,IV,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_94_cw,IV,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_95_cw,IV,healthy
TF21_TB2,TB2_tastebud_outline_cw,TB2 Nucleus_97_cw,x,dying
