Object,Type,Volume,SurfaceArea,Range_1,Range_2,Range_3,Health,SAV,PlotSort,Polarity,LysCount,LysTotalVol,LysMedianVol,LysMeanVol,LysStdVol,LysMaxVol,LysMinVol,LysCellRatio
TB1_AP16_EM,I,351.636514889444,1010.92255313528,23.2100253164557,44.88,18.64,healthy,2.87490778212587,I,1,62,33.3029507494825,0.0269265853549111,0.537144366927137,3.01267390373331,23.3160460576447,0.00138650218020609,0.094708454154578
TB1_AP34_EM,I,500.022992966446,669.503087649483,15.4534683544304,33.7061265822785,13.92,healthy,1.33894460268232,I,1,93,24.6948009802532,0.0150768831148855,0.265535494411325,1.31654331212076,11.4896287663986,0.00171446986059928,0.0493873308380249
TB1_AP36_EM,I,426.824822575738,893.138076159228,18.0204556962025,30.0129620253164,17.12,healthy,2.09251671627122,I,1,60,29.4472313754162,0.0462287714404742,0.49078718959027,1.54523468171736,9.11675858988399,0.00224762530791012,0.0689913749573244
TB1_AP37_EM,I,191.876064929422,1172.39678046101,7.64617721518987,71.0528607594937,13.2,healthy,6.11017732145098,I,1,73,7.17483555413135,0.0158561226128292,0.0982854185497445,0.534182811952482,4.57481901702084,0.000502751704320854,0.0373930722248785
TB1_AP38_EM,I,228.097541159513,797.129519363055,15.3780253164557,27.8696708860759,14.72,healthy,3.49468703306016,I,1,40,31.9356371714447,0.0585682095561612,0.798390929286117,2.47832172607066,15.4407293183357,0.0014406705933879,0.140008686674582
TB1_AP44_EM,I,265.024715523731,1236.66837007258,9.21326582278481,67.8528,9.84,dying,4.66623789267625,d,1,90,3.38884048268846,0.0181495295753884,0.0376537831409829,0.0480679192388325,0.259397481241253,0.00118511510334881,0.012786884709947
TB1_AP70_RSL,I,900.120371749377,1118.63429526452,20.6258227848101,64.5069367088607,12.88,healthy,1.24276077997264,I,1,61,5.42714120518293,0.0292717775228331,0.0889695279538185,0.162285727497294,0.885865203106342,0.000200140233936866,0.00602935049079639
TB2 Nucleus_04_cw_cell-ry,I,565.734360578541,766.941225262252,16.740865497076,53.8066900584795,14.48,healthy,1.35565607943267,I,1,41,1.04317232399621,0.0126169575048734,0.0254432274145418,0.037124878338565,0.140033471044992,5.72677979549471e-05,0.00184392604848931
TB2_T1C-05_cw,I,1325.06627827059,1463.06139303479,30.9289356725146,71.6364070175439,10.8,healthy,1.10414204710146,I,1,93,4.10483730863741,0.0137783518466084,0.0441380355767463,0.0767217037676441,0.412348856636456,0.000916572859569278,0.00309783546374363
TB2_T1C-06_cw,I,905.698165537591,1902.38567749266,32.0466900584795,76.4147087719298,17.6,healthy,2.10046321156395,I,1,73,2.56230280044813,0.0114533316151978,0.0351000383623032,0.0611994258153642,0.403075677787577,0.00157550728178465,0.00282909129988934
TB1_AP13_EM,II,1603.19589461786,1192.51399323104,14.877670886076,45.1046075949367,28.64,dying,0.743835483383204,d,1,114,89.1842676896143,0.0722901533643109,0.782318137628195,3.82094982164143,39.1428392551455,0.000196052273674098,0.0556290519387043
TB1_AP14_EM,II,481.867740641958,1455.21556610663,18.9926075949367,68.7457215189873,16.32,healthy,3.01994809647965,II,1,114,8.80980590122522,0.0352009537616833,0.0772789991335546,0.124104005183593,1.00576168643059,9.8694610906375e-05,0.0182826223010666
TB1_AP40_EM,II,277.119479033903,2079.92046025888,10.346835443038,56.8760506329114,18.88,dying,7.50550075913078,d,1,95,20.9028378532501,0.0530102123292204,0.220029872139475,1.13948618276488,11.0810119688341,1.1325637985364e-05,0.0754289735464351
TB2_T2C-01_FR,II,1625.57728423528,1291.44149944817,27.2058011695906,75.5874339181287,8.56,dying,0.79445100025232,d,1,143,20.0319858608903,0.0430763194291124,0.140083817209023,0.307621999955396,1.93053623626733,0.00426880004377415,0.0123229981466639
TB2_T2C-03_cw,II,1541.50604801904,1204.91854794327,18.0505263157895,58.9256608187135,18.4,dying,0.781650224137424,d,1,117,38.9527084322787,0.109816530145115,0.332929131899818,0.975926534302686,8.79739559549932,0.00177421135164102,0.0252692543648053
TB2_T2C-09_cw,II,796.450296950156,1142.19180097574,22.699134502924,76.8520514619883,12.96,healthy,1.43410305118792,II,1,38,0.673043338603558,0.00770022961184662,0.0177116668053568,0.0203935710991574,0.0869555290758416,0.00106018348118505,0.000845053785755169
TB2_T2C-10_cw,II,378.31668431947,1793.40242283816,30.3764210526316,76.2099461988304,10.4,healthy,4.74047933165887,II,1,131,6.75728995240089,0.0136040164390178,0.0515823660488618,0.0980997348152361,0.685653286524173,0.000939978607206732,0.017861464303527
TB2_T2C-12_cw,II,357.979594773766,1116.6216911921,27.9340350877193,66.4527532163743,24.88,healthy,3.11923279285731,II,1,169,8.57466122816884,0.0187387807019818,0.0507376404033659,0.10633035855421,0.74521254277578,0.00103093405925466,0.0239529329418561
TB2_T2Cell03_CM_LES,II,396.981278112694,1580.11721585878,52.5954,27.5374,13.1824,healthy,3.98033182665662,II,1,90,4.90715163917532,0.0238120903445835,0.054523907101948,0.122846983549009,0.857122766086995,4.89396599999876e-05,0.0123611664069012
TB1_AP02_EM,III,510.108808544543,1017.07371076443,15.8603544303797,75.6867848101266,9.76,healthy,1.99383679271561,III,1,164,6.26673725268815,0.0138141360081182,0.0382118125163911,0.076647994080547,0.624535904545213,0.00152969359183889,0.0122850990763492
TB1_AP31_EM,III,162.322490893807,777.973100332314,14.2968101265823,29.9372151898734,14.72,healthy,4.79276221088347,III,1,101,2.83814965092346,0.012500295140736,0.0281004915933016,0.0678216026369508,0.652086005157291,0.00116222960850289,0.0174846358954669
